set,id
3420.3,soc062
3420.3,soc066
3420.3,soc101
3420.3,soc102
3420.3,soc103
3420.3,soc104
3420.3,soc105
3421.0,soc090
3421.0,soc088
3421.0,soc082
3421.0,soc094
3422.0,soc083
3422.2,soc083
3423.0,soc085
3424.0,soc091
3425.0,soc074
3425.0,soc067
3425.0,soc068
3425.0,soc069
3425.0,soc070
3425.0,soc061
3425.0,soc062
3425.0,soc063
3425.0,soc064
3425.0,soc065
3425.0,soc066
3425.0,soc071
3425.0,soc072
3425.0,soc073
3425.0,soc075
3425.0,soc076
3425.0,soc077
3425.0,soc078
3425.0,soc079
3425.0,soc080
3425.2,soc089
3425.2,soc090
3425.2,soc137
3425.2,soc091
3425.2,soc086
3425.2,soc087
3425.2,soc135
3425.2,soc138
3425.2,soc136
3425.2,soc088
3425.2,soc081
3425.2,soc082
3425.2,soc106
3425.2,soc140
3425.2,soc141
3425.2,soc083
3425.2,soc084
3425.2,soc085
3425.2,soc139
3425.2,soc094
3426.0,soc011
3426.0,soc018
3426.0,soc024
3426.0,soc030
3426.0,soc036
3426.0,soc040
3427.0,nba027
3428.0,nba025
3428.0,nba026
3429.0,nba028
3429.0,nba029
3430.0,nba044
3430.0,nba042
3431.0,nba032
3431.0,nba033
3431.0,nba031
3431.0,nba030
3432.0,nba043
3432.0,nba045
3432.0,nba028
3432.0,nba027
3432.0,nba044
3432.0,nba029
3432.0,nba041
3432.0,nba025
3432.0,nba046
3432.0,nba042
3433.0,nba037
3433.0,nba040
3433.0,nba008
3433.0,nba047
3433.0,nba036
3433.0,nba035
3433.0,nba034
3433.0,nba018
3433.0,nba038
3433.0,nba039
3438.0,trn095
3439.0,oct016
3439.0,twn006
3440.0,nba044
3440.0,nba042
3442.0,pck013
3500.0,nba001
3529.0,nba006
3530.0,nba023
3535.0,gg001
3536.0,gg002
3537.0,gg003
3537.0,gg004
3538.0,gg006
3538.0,gg005
3548.0,nba027a
3548.2,nba027a
3549.0,nba048
